step	volume	average_movement_acceptance	average_volume_acceptance
40200	189.408633	0.251977	0.040000
40300	189.340702	0.274884	0.010000
40400	189.294819	0.268140	0.040000
40500	189.335405	0.252791	0.030000
40600	189.457810	0.251453	0.070000
40700	189.569905	0.272442	0.050000
40800	189.648579	0.275233	0.070000
40900	189.850529	0.265291	0.020000
41000	190.160023	0.263605	0.050000
41100	190.388406	0.280349	0.040000
41200	190.475881	0.276337	0.070000
41300	190.331447	0.277035	0.060000
41400	190.584988	0.285872	0.050000
41500	190.201607	0.272209	0.090000
41600	190.441754	0.271105	0.070000
41700	190.616725	0.281628	0.020000
41800	190.922065	0.280698	0.070000
41900	190.493964	0.281105	0.020000
42000	190.561930	0.273953	0.060000
42100	190.834961	0.272267	0.050000
42200	190.949385	0.283256	0.020000
42300	190.586820	0.280291	0.050000
42400	190.739953	0.273663	0.050000
42500	190.283348	0.269884	0.070000
42600	190.377728	0.271221	0.060000
42700	190.988531	0.277151	0.030000
42800	190.876927	0.275872	0.060000
42900	190.675098	0.288198	0.050000
43000	190.740555	0.278547	0.060000
43100	191.217432	0.289767	0.010000
43200	190.826171	0.285523	0.040000
43300	190.543437	0.249593	0.060000
43400	190.438934	0.267267	0.030000
43500	190.244591	0.276279	0.050000
43600	190.373154	0.277093	0.050000
43700	190.574229	0.274012	0.050000
43800	190.210373	0.257674	0.060000
43900	189.826907	0.246512	0.100000
44000	190.244214	0.251860	0.030000
44100	190.071706	0.265814	0.050000
44200	189.607059	0.254360	0.040000
44300	189.233908	0.262267	0.090000
44400	189.133200	0.258895	0.030000
44500	189.168565	0.248721	0.070000
44600	188.947652	0.245465	0.050000
44700	189.008308	0.255581	0.030000
44800	188.923921	0.268198	0.030000
44900	188.907986	0.268837	0.070000
45000	189.374486	0.260988	0.030000
45100	189.556571	0.266395	0.040000
45200	189.724605	0.277209	0.060000
45300	189.916539	0.269419	0.080000
45400	189.889404	0.269593	0.000000
45500	189.879099	0.249826	0.050000
45600	190.042964	0.233081	0.020000
45700	190.178099	0.254884	0.030000
45800	190.131254	0.263430	0.050000
45900	190.059871	0.255523	0.050000
46000	190.044740	0.266395	0.040000
46100	190.282450	0.256977	0.080000
46200	190.275746	0.255988	0.040000
46300	190.710386	0.279767	0.040000
46400	191.140879	0.279012	0.050000
46500	190.654455	0.283779	0.030000
46600	190.555773	0.269477	0.070000
46700	190.552671	0.269360	0.100000
46800	190.358115	0.256105	0.030000
46900	190.185402	0.248663	0.070000
47000	190.153256	0.268895	0.080000
47100	190.251795	0.250349	0.060000
47200	190.329527	0.259709	0.090000
47300	190.118615	0.255872	0.050000
47400	190.406173	0.271453	0.070000
47500	190.614717	0.272907	0.090000
47600	190.711007	0.276047	0.030000
47700	191.197265	0.274244	0.090000
47800	191.341907	0.288140	0.060000
47900	191.396445	0.260174	0.040000
48000	191.227058	0.270058	0.020000
48100	191.618427	0.268023	0.060000
48200	191.747337	0.280756	0.060000
48300	191.840413	0.283663	0.040000
48400	191.921792	0.277151	0.030000
48500	191.907908	0.258547	0.020000
48600	192.562626	0.283198	0.070000
48700	192.189970	0.271686	0.050000
48800	191.594213	0.270581	0.050000
48900	191.937756	0.264186	0.090000
49000	192.170998	0.264535	0.020000
49100	192.170902	0.265640	0.040000
49200	191.948561	0.255407	0.090000
49300	192.410722	0.262093	0.030000
49400	192.251912	0.271105	0.070000
49500	192.494638	0.271744	0.050000
49600	193.093821	0.280814	0.040000
49700	192.388800	0.282907	0.030000
49800	192.043098	0.280116	0.050000
49900	191.920579	0.269709	0.060000
50000	191.924087	0.271977	0.060000
50100	191.944392	0.276512	0.040000
50200	192.020539	0.272384	0.050000
50300	192.175515	0.275581	0.030000
50400	192.299277	0.274942	0.050000
50500	192.547859	0.276570	0.090000
50600	192.393543	0.269477	0.040000
50700	192.053450	0.275116	0.040000
50800	192.060199	0.272093	0.000000
50900	192.478689	0.285523	0.130000
51000	193.557995	0.284012	0.040000
51100	193.257718	0.275116	0.050000
51200	193.463836	0.276628	0.020000
51300	193.606658	0.295407	0.030000
51400	193.649794	0.284070	0.060000
